Open,Close,High,Low,Volume
471.23,470.99,471.45,470.14,545.10224712
470.65,469.76,470.65,468.91,355.07665522
469.75,469.84,470.3,468.91,931.84524261
469.87,468.71,470.3,468.6,409.59983845
468.73,467.0,469.0,466.61,944.85976432
466.99,468.01,468.61,466.89,666.26749394
468.47,468.52,468.62,468.01,642.66753001
468.56,468.63,469.6,468.5,480.19341948
468.63,468.47,468.64,468.0,313.5188789
468.14,467.08,468.45,467.08,304.32861381
467.08,464.55,467.08,463.27,1101.22561976
464.74,465.42,466.3,464.72,859.01211168
465.42,464.46,465.57,463.95,832.41925441
464.5,465.14,465.52,464.01,135.61275456
465.18,464.01,465.18,463.68,260.55965256
464.02,461.68,464.16,460.01,2011.6775728
461.66,455.81,461.94,455.11,4157.89339829
455.81,457.35,460.0,455.53,2687.63631376
457.46,458.2,459.45,457.39,321.82338936
457.86,457.01,459.0,455.5,1204.77582985
457.02,458.29,458.98,456.3,632.41739574
458.22,460.0,460.0,457.3,447.45187184
459.86,460.0,460.0,459.54,443.49172304
460.0,461.55,462.51,459.99,431.30821238
461.63,459.83,461.7,459.45,619.70051417
459.52,460.0,460.0,458.45,326.75761528
460.08,460.1,462.14,460.0,368.48423892
460.0,458.94,460.21,458.41,159.54692588
458.88,459.13,459.52,458.47,146.68167348
459.13,458.29,459.13,457.61,388.53456163
458.26,459.72,460.76,458.26,574.7793918
459.73,460.54,460.84,459.72,139.53713715
460.01,460.61,460.81,459.21,485.53508047
460.6,460.9,461.14,460.01,685.37385986
460.9,461.94,462.52,460.41,638.43246782
461.85,461.34,463.47,459.94,889.42309356
461.36,461.0,461.74,460.01,242.72929084
460.96,462.3,462.93,460.81,570.04642995
462.7,463.5,463.5,461.54,395.18492376
463.5,463.5,463.75,462.9,263.96011757
463.63,462.8,463.82,462.39,351.20040657
462.77,462.69,463.6,462.63,190.34969762
462.69,461.76,462.7,461.72,153.03892348
461.75,461.45,462.0,461.42,796.59342663
461.4,459.5,461.4,459.19,438.86928623
459.49,458.54,459.68,458.54,656.00047491
458.55,459.45,459.58,458.43,460.91050687
459.44,460.16,461.38,458.56,887.17521551
460.28,460.18,461.4,460.04,304.47090089999995
460.56,455.99,460.73,455.58,1275.25574318
455.61,454.5,455.99,451.66,3378.31991447
454.52,455.39,456.9,453.98,1609.86108856
455.47,451.56,455.49,450.45,2409.83889425
451.1,447.28,451.86,446.31,4837.18477358
447.25,450.81,451.82,446.32,2921.54079398
450.82,452.67,454.0,450.82,936.18337318
452.63,454.46,454.49,450.21,890.78120785
454.45,455.57,455.64,454.19,778.72579658
455.57,455.02,457.39,454.98,880.32594717
454.97,455.68,457.28,454.97,537.22051738
455.68,456.77,457.18,455.68,134.620785
456.93,457.67,457.79,456.8,743.43982854
457.67,456.5,457.7,456.5,575.47115831
456.49,454.58,457.12,453.71,296.53748665
454.58,452.03,454.59,450.0,1624.77957146
452.04,453.54,455.5,451.54,1566.26083248
453.36,452.2,453.71,451.95,418.08048696
452.2,450.58,452.21,449.61,853.15448375
450.58,450.0,450.8,449.53,846.73964135
450.01,451.05,451.42,450.0,578.71027991
451.06,450.21,451.52,450.18,868.36426291
450.54,452.17,452.6,450.23,382.92333959
452.55,453.98,454.57,452.3,739.42815472
453.99,452.58,454.24,452.43,243.04057844
452.38,451.68,452.6,450.0,504.98445717
451.52,450.21,452.2,450.21,601.81842167
450.24,451.09,451.47,450.24,332.35959681
451.1,451.2,451.55,450.83,261.01526993
451.2,450.49,451.47,449.82,476.32591456
450.49,451.0,451.0,449.01,424.37448687
451.18,451.93,452.0,451.04,271.12741135
451.95,452.99,453.0,451.95,152.67777349
453.0,454.43,454.43,453.0,264.75848296
454.43,454.82,455.0,454.29,582.38084151
454.8,454.66,455.2,453.89,318.75861825
455.21,456.16,456.49,454.8,332.58723922
456.33,457.09,457.5,456.21,205.67635016
457.41,458.0,458.0,457.05,529.16081191
458.0,459.13,459.15,457.99,349.23500317
459.13,457.6,459.14,456.33,1261.11088454
457.59,456.85,457.6,455.5,283.89653582
456.86,455.74,456.86,455.4,230.51323082
455.71,455.67,455.71,454.71,286.58810274
455.67,459.01,459.01,455.67,640.7627239
458.13,457.14,458.33,457.14,317.15897356
457.0,458.7,458.89,456.97,324.68336973
458.82,459.73,460.99,458.18,1678.52159441
459.89,460.4,460.71,459.79,184.52007473
460.56,460.12,461.0,460.1,482.18897231
460.27,460.16,460.97,460.1,257.52665853
460.16,459.79,460.17,459.76,116.98157830000001
460.0,458.51,460.56,457.16,688.7554865000001
458.52,460.9,460.9,458.16,138.38017137
460.81,460.59,461.98,460.59,626.54381464
460.8,460.74,460.8,460.5,129.92349913
460.74,460.99,461.13,460.08,293.34972966
460.99,459.6,461.17,459.6,187.1007204
459.6,457.59,459.61,457.1,384.19048452
457.27,458.21,458.95,457.27,256.64499587
458.06,459.08,459.93,458.06,99.9030905
459.01,459.01,460.27,458.05,398.41933914
459.78,459.54,459.82,459.04,65.24233127
459.55,458.79,459.85,458.55,163.35188707
458.79,459.12,459.85,458.79,91.63899642
459.36,458.76,459.75,458.44,128.3446906
458.79,459.39,460.0,458.4,200.49469472
459.23,457.42,459.28,457.42,151.06021112
457.72,457.93,458.44,457.44,204.89468842
457.86,458.49,458.49,454.52,1318.83435627
458.47,457.49,458.71,457.49,273.0041081
457.57,457.51,458.2,457.49,113.15503027
457.99,458.41,458.41,456.59,115.20700618
458.44,457.8,458.71,457.8,292.79456611
457.8,456.3,457.81,456.29,102.55656693
456.3,455.99,456.31,455.34,300.91246969
455.99,456.23,457.08,454.66,1081.99915928
456.24,455.92,456.4,455.28,430.61344342
455.9,455.39,456.0,453.0,1119.71630995
455.55,456.04,456.04,454.36,670.14906947
456.11,456.87,457.0,453.86,730.54638035
456.62,456.71,456.71,455.22,661.53780293
456.47,457.11,457.92,456.15,595.9905344
457.11,456.73,457.89,455.64,788.18768784
457.23,458.17,458.61,457.0,360.07292554
458.0,458.39,458.99,457.6,640.2772045
458.5,457.47,458.71,457.14,411.63405002
457.52,457.32,457.91,456.86,400.70743774
457.97,458.2,458.4,457.97,246.92269287
458.2,458.11,458.7,458.04,289.65336124
458.12,458.62,458.71,457.93,309.43630006
458.66,459.43,459.69,458.62,246.36412199
459.65,460.14,460.48,459.57,983.89796533
460.31,460.31,460.82,460.3,400.79362971
460.34,459.55,460.34,458.77,462.59667041
459.39,459.05,459.57,458.49,177.12066346
459.04,458.03,459.32,456.99,560.76936934
458.14,457.97,458.71,457.52,202.65876159
457.97,458.08,458.43,457.6,51.91903359
458.01,457.54,458.1,457.5,205.82437533
457.51,456.44,457.52,455.79,408.13286679
456.57,458.9,458.99,456.57,139.58968588
458.92,458.31,458.99,458.02,206.17038221
458.49,458.15,458.68,458.01,242.36694647
458.13,457.76,458.59,456.99,447.6870112
457.79,458.01,458.01,457.01,226.68246625
457.83,458.77,458.85,457.81,210.46866451
458.66,459.36,459.77,458.51,232.96665923
459.44,458.33,459.47,458.1,364.80594575
458.36,458.01,459.03,458.0,196.82386164
458.0,457.81,459.0,457.36,632.56706497
457.52,457.7,457.95,457.16,405.1160546
457.27,455.97,457.37,455.79,408.74341227
455.89,456.41,456.7,455.85,264.90219177
456.54,456.0,456.65,455.7,154.76020549
456.0,455.57,456.0,455.0,721.08832491
455.75,455.94,455.95,455.0,421.63873674
455.94,455.51,455.95,455.36,452.82198566
455.5,456.96,457.0,455.5,304.60976961
457.05,457.11,457.11,456.46,142.14795808
457.12,458.98,459.0,457.11,342.69413694
459.0,459.11,460.0,459.0,601.43602415
459.12,459.51,460.24,458.86,567.91499167
459.65,459.2,459.85,458.91,296.14947054
459.25,460.05,460.27,459.24,123.53748724
